Code,2015,2016,2017,2018,2019
S1,-2.869837155454457,-2.8114575911391544,-2.925773684947081,-3.5207425323119383,-4.900820428089049
S2,-3.6031659358399066,-2.82974713607973,-2.5649493574615367,-2.7606125311930656,-3.322416503809041
S3,-2.995732273553991,-2.8763855159214247,-2.805688670666126,-3.392268750917854,-4.9102008967744855
S4,-3.900287749209725,-3.195265959229067,-2.531931588432863,-3.6652695884748026,-4.3382240120154885
S5,-2.462927743069225,-1.9989875652363653,-3.3381392456950185,-3.658051990318677,-4.7059200890882344
S6,-2.8578624793308705,-2.738355550597539,-2.5068855565067754,-3.2097433413049283,-3.7992275112828016
S7,-2.468820512036376,-2.5885991083451296,-2.6850228678309,-2.147709512808839,-2.426112912607321
S8,-2.1296312862036912,-1.92896059074154,-1.8175673531839276,-2.2069807522815843,-2.9549102790337356
S9,-3.3581799965784644,-3.159550358783386,-3.0559511335470457,-3.261935314328648,-3.0975149678639333
S10,-2.8886341379976237,-2.5384474167160302,-2.2573133221771813,-2.892221897184326,-3.2540397373258676
S11,-3.628775530044231,-2.986869586296146,-3.8066624897703196,-3.678107357132025,-5.556828061699537
S12,-3.9889840465642745,-3.937840688454087,-4.023862487183681,-3.7328963395307104,-5.002267044425739
S13,-2.5649493574615367,-2.083006607844332,-3.0349529867072724,-3.436135433023436,-3.6327899874628926
S14,-2.5512817187328727,-3.1675825304806504,-2.6933594856922065,-2.369353269458886,-4.414009680526933
S15,-4.366278277705742,-3.6176519448255684,-3.1039458581942236,-4.621699487939302,-4.22683374526818
S16,-3.2666072276893905,-3.184284380098582,-2.7677694358038325,-4.101462029990965,-3.970291913552122
S17,-1.8870696490323797,-1.6845139388744574,-2.225395454302916,-2.5169949643395007,-3.5992672954242493
S18,-4.4148164574968725,-3.6262438831224513,-4.102643365036796,-5.537334267018537,-4.102643365036796
S19,-3.1343184368401378,-2.9205247960668523,-3.062222014822824,-2.992154452206107,-3.724487881581304
S20,-2.6552520155352393,-3.5025498759224427,-3.2938856458730674,-3.5571321832829152,-4.349355852384333
S21,-3.608457886803362,-3.3557350075853982,-3.5858310782144893,-4.330733340286331,-4.472780997942346
S22,-3.5015453554964373,-3.7184382563554808,-3.2460044922564535,-3.776585034533042,-4.543294782270004
S23,-3.132009891846539,-2.6749893388413217,-3.050220458838061,-3.459466289786131,-4.689051669968793
S24,-2.7647455447787554,-1.911489925168834,-2.501435951739211,-2.9444389791664407,-3.899950424193877
S25,-2.801844080388571,-3.368793957607496,-2.4992267035627487,-2.591932444764888,-3.1780538303479458
S26,-3.0081547935525483,-2.797281334830153,-3.361532125269724,-2.7472709142554916,-4.001254139156089
S27,-2.2498683108216415,-2.2415492024076764,-2.304012644985231,-2.995732273553991,-3.2363227384719213
