n,p,alpha,df,iterations,seed,res
50,4,0.1,5,500,100017,
100,4,0.1,5,500,100034,
50,8,0.1,5,500,100051,
100,8,0.1,5,500,100068,
50,4,0.2,5,500,100085,
100,4,0.2,5,500,100102,
50,8,0.2,5,500,100119,
100,8,0.2,5,500,100136,
50,4,0.30000000000000004,5,500,100153,
100,4,0.30000000000000004,5,500,100170,
50,8,0.30000000000000004,5,500,100187,
100,8,0.30000000000000004,5,500,100204,
50,4,0.4,5,500,100221,
100,4,0.4,5,500,100238,
50,8,0.4,5,500,100255,
100,8,0.4,5,500,100272,
50,4,0.5,5,500,100289,
100,4,0.5,5,500,100306,
50,8,0.5,5,500,100323,
100,8,0.5,5,500,100340,
50,4,0.6,5,500,100357,
100,4,0.6,5,500,100374,
50,8,0.6,5,500,100391,
100,8,0.6,5,500,100408,
50,4,0.7000000000000001,5,500,100425,
100,4,0.7000000000000001,5,500,100442,
50,8,0.7000000000000001,5,500,100459,
100,8,0.7000000000000001,5,500,100476,
50,4,0.8,5,500,100493,
100,4,0.8,5,500,100510,
50,8,0.8,5,500,100527,
100,8,0.8,5,500,100544,
50,4,0.9,5,500,100561,
100,4,0.9,5,500,100578,
50,8,0.9,5,500,100595,
100,8,0.9,5,500,100612,
50,4,0.1,10,500,100629,
100,4,0.1,10,500,100646,
50,8,0.1,10,500,100663,
100,8,0.1,10,500,100680,
50,4,0.2,10,500,100697,
100,4,0.2,10,500,100714,
50,8,0.2,10,500,100731,
100,8,0.2,10,500,100748,
50,4,0.30000000000000004,10,500,100765,
100,4,0.30000000000000004,10,500,100782,
50,8,0.30000000000000004,10,500,100799,
100,8,0.30000000000000004,10,500,100816,
50,4,0.4,10,500,100833,
100,4,0.4,10,500,100850,
50,8,0.4,10,500,100867,
100,8,0.4,10,500,100884,
50,4,0.5,10,500,100901,
100,4,0.5,10,500,100918,
50,8,0.5,10,500,100935,
100,8,0.5,10,500,100952,
50,4,0.6,10,500,100969,
100,4,0.6,10,500,100986,
50,8,0.6,10,500,101003,
100,8,0.6,10,500,101020,
50,4,0.7000000000000001,10,500,101037,
100,4,0.7000000000000001,10,500,101054,
50,8,0.7000000000000001,10,500,101071,
100,8,0.7000000000000001,10,500,101088,
50,4,0.8,10,500,101105,
100,4,0.8,10,500,101122,
50,8,0.8,10,500,101139,
100,8,0.8,10,500,101156,
50,4,0.9,10,500,101173,
100,4,0.9,10,500,101190,
50,8,0.9,10,500,101207,
100,8,0.9,10,500,101224,
50,4,0.1,20,500,101241,
100,4,0.1,20,500,101258,
50,8,0.1,20,500,101275,
100,8,0.1,20,500,101292,
50,4,0.2,20,500,101309,
100,4,0.2,20,500,101326,
50,8,0.2,20,500,101343,
100,8,0.2,20,500,101360,
50,4,0.30000000000000004,20,500,101377,
100,4,0.30000000000000004,20,500,101394,
50,8,0.30000000000000004,20,500,101411,
100,8,0.30000000000000004,20,500,101428,
50,4,0.4,20,500,101445,
100,4,0.4,20,500,101462,
50,8,0.4,20,500,101479,
100,8,0.4,20,500,101496,
50,4,0.5,20,500,101513,
100,4,0.5,20,500,101530,
50,8,0.5,20,500,101547,
100,8,0.5,20,500,101564,
50,4,0.6,20,500,101581,
100,4,0.6,20,500,101598,
50,8,0.6,20,500,101615,
100,8,0.6,20,500,101632,
50,4,0.7000000000000001,20,500,101649,
100,4,0.7000000000000001,20,500,101666,
50,8,0.7000000000000001,20,500,101683,
100,8,0.7000000000000001,20,500,101700,
50,4,0.8,20,500,101717,
100,4,0.8,20,500,101734,
50,8,0.8,20,500,101751,
100,8,0.8,20,500,101768,
50,4,0.9,20,500,101785,
100,4,0.9,20,500,101802,
50,8,0.9,20,500,101819,
100,8,0.9,20,500,101836,
50,4,0.1,100,500,101853,
100,4,0.1,100,500,101870,
50,8,0.1,100,500,101887,
100,8,0.1,100,500,101904,
50,4,0.2,100,500,101921,
100,4,0.2,100,500,101938,
50,8,0.2,100,500,101955,
100,8,0.2,100,500,101972,
50,4,0.30000000000000004,100,500,101989,
100,4,0.30000000000000004,100,500,102006,
50,8,0.30000000000000004,100,500,102023,
100,8,0.30000000000000004,100,500,102040,
50,4,0.4,100,500,102057,
100,4,0.4,100,500,102074,
50,8,0.4,100,500,102091,
100,8,0.4,100,500,102108,
50,4,0.5,100,500,102125,
100,4,0.5,100,500,102142,
50,8,0.5,100,500,102159,
100,8,0.5,100,500,102176,
50,4,0.6,100,500,102193,
100,4,0.6,100,500,102210,
50,8,0.6,100,500,102227,
100,8,0.6,100,500,102244,
50,4,0.7000000000000001,100,500,102261,
100,4,0.7000000000000001,100,500,102278,
50,8,0.7000000000000001,100,500,102295,
100,8,0.7000000000000001,100,500,102312,
50,4,0.8,100,500,102329,
100,4,0.8,100,500,102346,
50,8,0.8,100,500,102363,
100,8,0.8,100,500,102380,
50,4,0.9,100,500,102397,
100,4,0.9,100,500,102414,
50,8,0.9,100,500,102431,
100,8,0.9,100,500,102448,
