E.tau.hat,E.SE.hat,ES,power,nC,nT,sd,tau,mu,R
0.013110528513853253,0.872454093533207,0,0.196,2,2,1,0,5,500
0.5399220428865018,0.8640737356703312,0.5,0.228,2,2,1,0.5,5,500
0.9832540681671689,0.8929156008753512,1,0.34,2,2,1,1,5,500
0.012094470643024262,1.707728575652904,0,0.17,2,2,2,0,5,500
0.39500947639764716,1.8184304187359603,0.25,0.176,2,2,2,0.5,5,500
1.0532145283693715,1.817983208174596,0.5,0.23,2,2,2,1,5,500
-0.003674517654511302,0.784581159033972,0,0.16,2,4,1,0,5,500
0.5371007952533533,0.7694877716453736,0.5,0.204,2,4,1,0.5,5,500
0.9898470510888937,0.7862355820485655,1,0.334,2,4,1,1,5,500
-0.04882401808580556,1.52351484669634,0,0.166,2,4,2,0,5,500
0.477606381385123,1.5147119831915297,0.25,0.17,2,4,2,0.5,5,500
1.1418263829319049,1.5632804316243694,0.5,0.21,2,4,2,1,5,500
0.07962880334180045,0.7128585476295561,0,0.178,2,7,1,0,5,500
0.5552389308478576,0.7288733022016927,0.5,0.248,2,7,1,0.5,5,500
0.9999545563937233,0.7193310988552959,1,0.404,2,7,1,1,5,500
-0.07136301091157544,1.4373557863067852,0,0.172,2,7,2,0,5,500
0.5434027356271326,1.3563374527143737,0.25,0.194,2,7,2,0.5,5,500
0.9490413045850071,1.4338142393648419,0.5,0.234,2,7,2,1,5,500
0.04863015778073865,0.6855829537986728,0,0.212,2,10,1,0,5,500
0.5024549767805989,0.6870842279354636,0.5,0.228,2,10,1,0.5,5,500
0.96457186694019,0.6686200347434721,1,0.386,2,10,1,1,5,500
-0.10442262227906418,1.3916313708299288,0,0.226,2,10,2,0,5,500
0.5175701954669099,1.3061450122042686,0.25,0.192,2,10,2,0.5,5,500
1.1552335207258546,1.3047422549134167,0.5,0.31,2,10,2,1,5,500
0.03328740662779191,0.5993682325560047,0,0.256,2,50,1,0,5,500
0.4532193861693497,0.6011958307232964,0.5,0.324,2,50,1,0.5,5,500
1.011644837741757,0.592027811854247,1,0.492,2,50,1,1,5,500
-0.08404058785909434,1.2252264239259407,0,0.232,2,50,2,0,5,500
0.4890181911413213,1.1728072400499334,0.25,0.268,2,50,2,0.5,5,500
0.9970984009106735,1.1723458211510072,0.5,0.322,2,50,2,1,5,500
0.013379395718623602,0.5812616782107706,0,0.274,2,500,1,0,5,500
0.4923483539529373,0.5746203436311954,0.5,0.344,2,500,1,0.5,5,500
1.0503298293213965,0.5642113923019232,1,0.548,2,500,1,1,5,500
-0.1158606398273524,1.0851273258116396,0,0.286,2,500,2,0,5,500
0.6204308397955901,1.1154570817272076,0.25,0.342,2,500,2,0.5,5,500
1.0471019158143917,1.1340276242239147,0.5,0.364,2,500,2,1,5,500
0.006235657419970102,0.7827387831138348,0,0.158,4,2,1,0,5,500
0.4752659407485027,0.7471889868785714,0.5,0.222,4,2,1,0.5,5,500
0.9742921170036756,0.7989562813987408,1,0.302,4,2,1,1,5,500
0.05926532830003969,1.5818620072981193,0,0.148,4,2,2,0,5,500
0.39712975972977876,1.5576722664669551,0.25,0.178,4,2,2,0.5,5,500
0.935482397937306,1.5558262952712851,0.5,0.218,4,2,2,1,5,500
-0.02591073168208219,0.6822608063469712,0,0.102,4,4,1,0,5,500
0.5182940571331716,0.6774861619313686,0.5,0.17,4,4,1,0.5,5,500
0.9675990836096394,0.6822667604162705,1,0.314,4,4,1,1,5,500
-0.02565099344935418,1.3582354911078869,0,0.1,4,4,2,0,5,500
0.44777982132446886,1.3530642579517036,0.25,0.106,4,4,2,0.5,5,500
0.9260212234892382,1.3772823857760246,0.5,0.172,4,4,2,1,5,500
-0.015410174451429602,0.5918659508712877,0,0.108,4,7,1,0,5,500
0.4838471439261204,0.6037739575829006,0.5,0.154,4,7,1,0.5,5,500
0.9627432141216393,0.6020717887392633,1,0.36,4,7,1,1,5,500
-0.030101376663018375,1.2109829582343103,0,0.082,4,7,2,0,5,500
0.45984833921830137,1.196197833550585,0.25,0.128,4,7,2,0.5,5,500
0.9794603608314472,1.2031468958940523,0.5,0.152,4,7,2,1,5,500
0.038689290263795195,0.573262901212837,0,0.108,4,10,1,0,5,500
0.4824798596359536,0.5679174123387608,0.5,0.198,4,10,1,0.5,5,500
0.9926640283683452,0.5770468464244587,1,0.416,4,10,1,1,5,500
-0.030883014502689685,1.15047859915285,0,0.12,4,10,2,0,5,500
0.49669097741083423,1.1276663335718933,0.25,0.122,4,10,2,0.5,5,500
1.0179183189753909,1.1426645282094656,0.5,0.166,4,10,2,1,5,500
0.0335522851180639,0.49009019198085274,0,0.104,4,50,1,0,5,500
0.49674274143685015,0.4931575446268574,0.5,0.256,4,50,1,0.5,5,500
1.0247511215617569,0.4789016478003004,1,0.564,4,50,1,1,5,500
-0.03209891646991021,0.978489231902029,0,0.108,4,50,2,0,5,500
0.469034029734879,0.9859853949981863,0.25,0.142,4,50,2,0.5,5,500
0.953140113637901,0.9640474659001766,0.5,0.222,4,50,2,1,5,500
-0.0150575756679195,0.48183058479236474,0,0.114,4,500,1,0,5,500
0.4708679434669563,0.4622293548480144,0.5,0.25,4,500,1,0.5,5,500
1.0000653072718804,0.47704768566084527,1,0.54,4,500,1,1,5,500
-0.02570225228784228,0.9151599477875331,0,0.138,4,500,2,0,5,500
0.49797454683820574,0.938541033865557,0.25,0.156,4,500,2,0.5,5,500
0.9384404045466075,0.9053113191273813,0.5,0.246,4,500,2,1,5,500
0.005898623381633778,0.7261473354681308,0,0.17,7,2,1,0,5,500
0.43674943935445437,0.6945420195549131,0.5,0.228,7,2,1,0.5,5,500
0.9805928225417866,0.7387802783972741,1,0.364,7,2,1,1,5,500
-0.15244802649698302,1.4366105533758509,0,0.164,7,2,2,0,5,500
0.2718822493851785,1.4336399855063087,0.25,0.174,7,2,2,0.5,5,500
0.9128621587991581,1.472056633272031,0.5,0.202,7,2,2,1,5,500
-0.005165986076150649,0.6003748845826733,0,0.076,7,4,1,0,5,500
0.4898769173270637,0.5979900262882087,0.5,0.18,7,4,1,0.5,5,500
1.0097374735464888,0.6013148727578566,1,0.412,7,4,1,1,5,500
0.023093285142167932,1.226558282059172,0,0.084,7,4,2,0,5,500
0.49508507635876764,1.172803320719621,0.25,0.136,7,4,2,0.5,5,500
1.0404829465652177,1.1987134029384467,0.5,0.154,7,4,2,1,5,500
0.04104380692438668,0.5256063908467988,0,0.06,7,7,1,0,5,500
0.5243509416227702,0.5329584036978537,0.5,0.178,7,7,1,0.5,5,500
0.9773598037847223,0.5298651671597345,1,0.496,7,7,1,1,5,500
0.019141741223231593,1.0445863803259756,0,0.088,7,7,2,0,5,500
0.483626475174871,1.0681679154047665,0.25,0.096,7,7,2,0.5,5,500
1.0306218515235985,1.0305497568318251,0.5,0.212,7,7,2,1,5,500
-0.025750479253220004,0.47541943090538924,0,0.072,7,10,1,0,5,500
0.45034406639039515,0.4767966226158765,0.5,0.184,7,10,1,0.5,5,500
1.023669625382224,0.4864449459467705,1,0.542,7,10,1,1,5,500
0.019892820724709607,0.9720011120439894,0,0.062,7,10,2,0,5,500
0.49317320174663065,0.9809538526610351,0.25,0.106,7,10,2,0.5,5,500
0.99919817975298,0.9520874034177514,0.5,0.204,7,10,2,1,5,500
-0.01971068784029997,0.39282212280526085,0,0.078,7,50,1,0,5,500
0.5083107658341484,0.39496130030235915,0.5,0.272,7,50,1,0.5,5,500
0.9956778120639935,0.38237790028212826,1,0.726,7,50,1,1,5,500
0.026018078685144837,0.781357803145712,0,0.082,7,50,2,0,5,500
0.5333351088200561,0.7891207932889394,0.25,0.12,7,50,2,0.5,5,500
1.0358182319124407,0.7806608585780332,0.5,0.27,7,50,2,1,5,500
-0.005687886453918475,0.3670426069756209,0,0.108,7,500,1,0,5,500
